Cocktail name
Aqua Velva
Aviation
Basil Collins
Basil Gimlet
Bees Knees
Bijou
Blood Orange G&T
Bramble
Clover Club
Corpse Reviver
Cynar Negroni
Dirty Martini
Gibson Cocktail
Gin and Coke
Gin and Lemonade
Gin and Soda
Gin and Tonic
Gin Fizz
Gin Gimlet
Gin & Basil Cocktail
Gin Basil Smash
Gin Gin Mule
Gin Rickey
Gin Sour
Greyhound
Finnish Long Drink
French 75
French 77
French Gimlet
Floradora
Hanky Panky
Last Word
Lavender Gin Cocktail
Lillet Cocktail
Lime Rickey
Long Island Iced Tea
Martinez
Martini 
Negroni 
Ramos Gin Fizz
Red Snapper
Pegu Club
Pomegranate Gin Fizz
Salty Dog
Singapore Sling
Southside
Southside Fizz
Strawberry Basil G&T
Tom Collins
Vesper Martini
White Lady
White Negroni
Apple Cider Mule
Apple Martini 
Baileys White Russian
Bay Breeze
Berry Vodka Smash
Black Russian
Bloody Caesar
Blood Orange Martini
Bloody Mary 
Blue Hawaii
Blue Lagoon
Blue Long Island Iced Tea
Brass Monkey
Chi Chi
Chocolate Martini
Chocolatini
Christmas Martini
Coconut Martini
Colorado Bulldog
Cosmopolitan
Coffee Martini
Cranberry Martini
Cranberry Moscow Mule
Cucumber Gimlet
Cucumber Martini
Dirty Shirley
Elderflower Cocktail
Espresso Martini
Espresso Martini with Baileys
French 76
French Martini
Ginger Martini
Gingerbread Martini
Harvey Wallbanger
Key Lime Martini
Lemon Drop
Lemon Drop Martini
Limoncello Martini
Long Beach Iced Tea
Madras
Mango Martini
Mind Eraser
Moscow Mule 
Peach Martini
Pear Martini
Pineapple Vodka Cocktail
Pomegranate Cosmo
Pomegranate Martini
Pumpkin Martini
Raspberry Martini
Rosemary Fizz Cocktail
Sea Breeze
Screwdriver
Spicy Bloody Mary
Strawberry Vodka Cocktail
Transfusion
Love Potion
Vodka and Coke
Vodka and Ginger Ale
Vodka Collins
Vodka Cranberry
Vodka Gimlet
Vodka Lemonade
Vodka Margarita
Vodka Sidecar
Vodka Soda
Vodka Sour
Vodka Spritzer
Vodka Sunrise
Vodka Tonic
Watermelon Martini
Watermelon Mule
Watermelon Smash
White Russian
Amaretto Sour
Amaretto Whiskey Sour
Apple Cider Cocktail
Apple Cider and Whiskey
Apple Cider Hot Toddy
Alabama Slammer
Black Manhattan
Blackberry Bourbon Smash
Boston Sour
Boulevardier
Bourbon Hot Toddy
Bourbon Manhattan
Bourbon Milk Punch
Bourbon Lemonade
Bourbon Sazerac
Bourbon Sidecar
Bourbon Smash
Brown Derby
Cranberry Bourbon Cocktail
Gold Rush
Hot Toddy
Japanese Highball
John Collins
Kentucky Mule
Lions Tail
Manhattan
Maple Old Fashioned
Milk Punch
Mint Julep
New York Sour
Old Fashioned
Old Pal
Paper Plane
Peach Bourbon Cocktail
Revolver Cocktail
Smoked Old Fashioned
Spiked Hot Chocolate
St Germain and Cranberry Cocktail
Whiskey and Coke
Whiskey Ginger
Whiskey Highball
Whiskey Lemonade
